stock_code,stock_name,report_year,report_quarter,declare_date,act_np,con_np,excess_rate
59,华锦股份,2017,1,2017-04-14,221463.5077,235500.2143,-0.0596
59,华锦股份,2017,2,2017-08-16,185854.2,167015.4708,0.1128
59,华锦股份,2018,1,2018-04-20,200612.5,211025.0,-0.0493
59,华锦股份,2018,2,2018-07-31,196221.2127,204977.2362,-0.0427
59,华锦股份,2018,3,2018-10-23,147617.7778,187850.0,-0.2142
59,华锦股份,2018,4,2019-01-19,110000.0,142456.1886,-0.2278
59,华锦股份,2019,2,2019-08-21,119904.0902,132070.6346,-0.0921
59,华锦股份,2019,4,2020-04-03,99295.5495,110361.535,-0.1003
60,中金岭南,2016,1,2016-04-15,34764.6269,36791.0257,-0.0551
60,中金岭南,2016,2,2016-08-27,28976.5366,34456.2162,-0.159
60,中金岭南,2016,4,2017-01-10,33500.0,34296.8105,-0.0232
60,中金岭南,2017,1,2017-04-15,89944.8991,115063.3264,-0.2183
60,中金岭南,2017,2,2017-06-13,106712.6168,95999.1923,0.1116
60,中金岭南,2017,4,2018-01-24,115000.0,121523.9046,-0.0537
60,中金岭南,2018,1,2018-04-10,133404.0342,144661.8464,-0.0778
60,中金岭南,2018,2,2018-08-29,123950.0,139676.0,-0.1126
60,中金岭南,2018,3,2018-10-30,108521.3333,129192.0,-0.16
60,中金岭南,2018,4,2019-03-30,91993.9796,111230.1225,-0.1729
60,中金岭南,2019,1,2019-04-29,92994.7953,105980.1225,-0.1225
60,中金岭南,2019,2,2019-08-29,88417.6,82102.763,0.0769
60,中金岭南,2019,3,2019-10-28,84863.4286,88417.6,-0.0402
60,中金岭南,2019,4,2020-03-10,85210.5139,75558.3397,0.1277
61,农产品,2016,1,2016-04-30,3760.0992,9040.8924,-0.5841
61,农产品,2016,4,2017-01-25,8500.0,3100.0,1.7419
61,农产品,2019,4,2020-01-18,26000.0,16300.0,0.5951
62,深圳华强,2016,1,2016-04-19,41238.4,43374.3333,-0.0492
62,深圳华强,2016,4,2017-03-09,42586.0913,40648.6667,0.0477
62,深圳华强,2017,1,2017-04-20,58189.5,53443.5556,0.0888
62,深圳华强,2017,4,2018-03-23,41226.9518,60100.0,-0.314
62,深圳华强,2019,2,2019-08-28,80100.0,87900.0,-0.0887
62,深圳华强,2019,3,2019-10-24,74750.0,80722.2222,-0.074
62,深圳华强,2019,4,2020-03-26,63003.2131,68790.0,-0.0841
63,中兴通讯,2016,1,2016-04-29,411308.5866,445736.0633,-0.0772
63,中兴通讯,2016,2,2016-08-26,385207.6839,354163.7419,0.0877
63,中兴通讯,2016,4,2017-03-08,-235741.8,387169.0861,-1.6089
63,中兴通讯,2017,2,2017-08-25,451825.5707,439555.6937,0.0279
63,中兴通讯,2017,4,2018-02-02,455378.8,449478.7675,0.0131
63,中兴通讯,2018,2,2018-07-14,-65424.6654,533944.3135,-1.1225
63,中兴通讯,2018,3,2018-10-26,-625952.0759,-547442.7811,-0.1434
63,中兴通讯,2018,4,2019-03-28,-698366.2,-588337.0446,-0.187
63,中兴通讯,2019,1,2019-04-30,478380.3964,493254.9936,-0.0302
63,中兴通讯,2019,2,2019-08-28,505512.3686,495579.3252,0.02
63,中兴通讯,2019,3,2019-10-29,498058.7096,515957.6893,-0.0347
63,中兴通讯,2019,4,2020-03-28,514787.7,486465.6905,0.0582
