股票代码,公司简称,统计日期,发布时间,预告类型
25,特力A,2016-03-31,2016-04-15,预增
25,特力A,2016-06-30,2016-07-15,预增
25,特力A,2017-09-30,2017-10-14,预增
25,特力A,2017-12-31,2018-01-31,预增
25,特力A,2018-03-31,2018-04-14,预增
25,特力A,2018-12-31,2019-03-08,略增
25,特力A,2019-06-30,2019-07-13,预增
25,特力A,2019-09-30,2019-10-15,预增
25,特力A,2019-12-31,2020-01-18,预增
26,飞亚达,2017-03-31,2017-04-07,预增
26,飞亚达,2018-12-31,2019-01-30,略增
27,深圳能源,2016-03-31,2016-04-15,预减
27,深圳能源,2017-06-30,2017-07-15,预减
27,深圳能源,2019-03-31,2019-04-13,预增
27,深圳能源,2019-06-30,2019-07-13,预增
27,深圳能源,2019-09-30,2019-10-15,预增
27,深圳能源,2019-12-31,2020-01-15,预增
29,深深房A,2016-06-30,2016-04-29,预减
29,深深房A,2017-06-30,2017-07-11,续盈
29,深深房A,2017-09-30,2017-08-30,略减
29,深深房A,2017-12-31,2017-10-26,略减
29,深深房A,2018-03-31,2018-04-14,首亏
29,深深房A,2018-06-30,2018-04-27,预增
29,深深房A,2018-09-30,2018-08-29,预增
29,深深房A,2018-12-31,2018-10-31,预增
29,深深房A,2019-03-31,2019-04-11,扭亏
30,富奥股份,2019-12-31,2020-03-04,略增
31,大悦城,2016-03-31,2016-04-14,预增
31,大悦城,2016-09-30,2016-08-31,预减
31,大悦城,2017-09-30,2017-10-14,预增
31,大悦城,2018-03-31,2018-04-12,预增
31,大悦城,2018-06-30,2018-07-06,预增
31,大悦城,2018-09-30,2018-10-13,预增
31,大悦城,2018-12-31,2019-01-30,预增
31,大悦城,2019-03-31,2019-04-12,略增
31,大悦城,2019-06-30,2019-07-13,略增
31,大悦城,2019-09-30,2019-10-15,预增
31,大悦城,2019-12-31,2020-01-20,略增
32,深桑达A,2016-03-31,2016-04-14,略减
32,深桑达A,2016-06-30,2016-07-12,续盈
32,深桑达A,2016-09-30,2016-10-13,续盈
32,深桑达A,2017-12-31,2018-01-30,预减
32,深桑达A,2018-03-31,2018-04-14,预增
32,深桑达A,2018-06-30,2018-07-12,预增
32,深桑达A,2018-09-30,2018-10-13,略增
32,深桑达A,2018-12-31,2019-01-26,预增
33,新都退,2016-06-30,2016-04-27,扭亏
33,新都退,2016-09-30,2016-09-03,扭亏
33,新都退,2016-12-31,2016-10-25,预减
33,新都退,2017-06-30,2017-04-29,续盈
34,神州数码,2016-03-31,2016-04-15,首亏
34,神州数码,2016-06-30,2016-07-15,预增
34,神州数码,2016-09-30,2016-10-15,预增
34,神州数码,2016-12-31,2017-01-25,预增
34,神州数码,2017-03-31,2017-04-15,扭亏
34,神州数码,2017-12-31,2018-01-30,预增
34,神州数码,2018-06-30,2018-06-23,略增
35,中国天楹,2019-03-31,2019-04-15,续盈
35,中国天楹,2019-06-30,2019-07-06,略增
35,中国天楹,2019-09-30,2019-10-15,略增
35,中国天楹,2019-12-31,2020-01-16,略增
36,华联控股,2016-03-31,2016-04-15,扭亏
36,华联控股,2016-06-30,2016-07-15,扭亏
36,华联控股,2016-09-30,2016-08-31,扭亏
36,华联控股,2016-12-31,2016-10-31,预增
36,华联控股,2017-03-31,2017-04-15,预增
36,华联控股,2017-06-30,2017-07-14,预增
36,华联控股,2017-09-30,2017-10-14,预增
36,华联控股,2018-03-31,2018-04-14,预减
36,华联控股,2018-06-30,2018-07-12,预减
36,华联控股,2019-03-31,2019-03-20,预增
37,深南电A,2016-03-31,2016-04-14,减亏
37,深南电A,2016-06-30,2016-07-13,减亏
37,深南电A,2016-09-30,2016-10-13,减亏
37,深南电A,2016-12-31,2017-01-13,扭亏
37,深南电A,2017-03-31,2017-04-12,减亏
37,深南电A,2017-06-30,2017-07-08,减亏
37,深南电A,2017-09-30,2017-10-12,续亏
37,深南电A,2017-12-31,2018-01-18,预减
37,深南电A,2018-03-31,2018-04-12,续亏
37,深南电A,2018-06-30,2018-07-09,扭亏
37,深南电A,2018-09-30,2018-10-10,扭亏
37,深南电A,2019-03-31,2019-04-11,续亏
37,深南电A,2019-06-30,2019-07-10,首亏
37,深南电A,2019-09-30,2019-10-12,预减
38,深大通,2016-03-31,2016-04-15,扭亏
38,深大通,2016-06-30,2016-07-05,扭亏
38,深大通,2016-09-30,2016-10-15,预增
38,深大通,2016-12-31,2017-01-17,预增
38,深大通,2017-03-31,2017-04-15,预增
38,深大通,2017-06-30,2017-07-13,预增
38,深大通,2017-09-30,2017-10-14,预增
38,深大通,2017-12-31,2018-01-22,预增
38,深大通,2018-12-31,2019-04-16,首亏
38,深大通,2019-03-31,2019-04-15,预减
38,深大通,2019-06-30,2019-07-13,预减
38,深大通,2019-09-30,2019-10-15,预减
38,深大通,2019-12-31,2020-01-23,扭亏
39,中集集团,2016-06-30,2016-07-15,首亏
39,中集集团,2016-09-30,2016-10-15,首亏
39,中集集团,2016-12-31,2017-01-24,预减
39,中集集团,2017-06-30,2017-07-15,扭亏
39,中集集团,2017-09-30,2017-10-14,扭亏
39,中集集团,2017-12-31,2018-01-30,预增
39,中集集团,2018-09-30,2018-10-16,预增
39,中集集团,2019-09-30,2019-10-16,预减
